STUSPS,Rating,Access,Details
AL,Always Required,0.413,"Year(s) of legislation: 1971, 2015"
AK,Always Required,0.333,Year(s) of legislation: 1981
AZ,Always Required,0.328,"Year(s) of legislation: 1992, 2010 "
AR,Never Required,0.417,Year(s) of legislation: 1973
CA,Sometimes Required,0.376,*Minors can independently consent if a provider determines parental involvement would be detrimental to the minor. Year(s) of legislation: 2023
CO,Sometimes Required,0.471,"*Inpatient Treatment:  Minors can independently consent; however, their parent/guardian may be notified regardless. Outpatient Treatment: Minors can independently consent if a provider determines parental involvement would be detrimental to the minor; Minors can independently consent; however, their parent/guardian may be notified regardless. Year(s) of legislation: 2019, 2022"
CT,Sometimes Required,0.47,"*Inpatient Treatment:  Minors can independently consent; however, their parent/guardian may be notified regardless. Outpatient Treatment: Minors can independently consent if a provider determines parental involvement would be detrimental to the minor; Minors can independently consent; however, their parent/guardian may be notified regardless. Year(s) of legislation: 1979, 1992"
DC,Sometimes Required,0.688,"*Inpatient Treatment: Parent consent required. Outpatient Treatment: Minor can consent independently initially, but there is a time limit until parent  permission is required.Year(s) of legislation: 2014"
DE,Sometimes Required,0.432,*Inpatient Treatment: Parent consent required. Outpatient Treatment: Independent minor consent allowed. Year(s) of legislation: 2001
FL,Sometimes Required,0.503,"*Inpatient Treatment: Parent consent required. Outpatient Treatment: Minor can consent independently initially, but there is a time limit until parent  permission is required. Year(s) of legislation: 1971, 1991"
GA,Always Required,0.363,Year(s) of legislation: 1952
HI,Sometimes Required,0.301,*Inpatient Treatment: Parent consent required. Outpatient Treatment: Minors can independently consent if a provider determines parental involvement would be detrimental to the minor. Year(s) of legislation: 2016
ID,Always Required,0.37,Year(s) of legislation: 2024
IL,Sometimes Required,0.607,"*Inpatient Treatment: Minors can independently consent; however, their parent/guardian may be notified regardless. Outpatient Treatment: Minors can independently consent if a provider determines parental involvement would be detrimental to the minor; Minor can consent independently initially, but there is a time limit until parent permission is required. Year(s) of legislation: Prior to 1991, 2018"
IN,Always Required,0.336,Year(s) of legislation: 1993
IA,Always Required,0.488,Year(s) of legislation: Prior to 1991
KS,Sometimes Required,0.333,"*Inpatient Treatment:  Minors can independently consent; however, their parent/guardian may be notified regardless. Year(s) of legislation: 1996"
KY,Sometimes Required,0.459,"*Minors can independently consent; however, their parent/guardian may be notified regardless. Year(s) of legislation: 1970, 1986"
LA,Never Required,0.611,Year(s) of legislation: 1992
ME,Sometimes Required,0.654,"*Inpatient Treatment: Parent consent required. Outpatient Treatment:  Independent minor consent allowed. Year(s) of legislation: 1983, 1995"
